City Name,Country,Cloudiness (%),Humidity (%),Temperature (F),Wind Speed (mph),Latitude,Longitude
Crestview,US,1,81,55.4,3.36,30.76,-86.57
Kondopoga,RU,100,92,32.0,8.95,62.21,34.27
Cagli,IT,0,92,33.62,4.7,43.55,12.65
Magadan,RU,0,69,4.86,8.52,59.56,150.8
Loandjili,CG,75,94,80.6,6.93,-4.77,11.87
Singleton,AU,75,58,77.22,9.17,-32.57,151.17
Sao Jose do Belmonte,BR,59,81,74.97,4.34,-7.86,-38.76
Makakilo City,US,40,65,80.1,12.75,21.35,-158.09
Tokoname,JP,90,65,44.94,5.82,34.9,136.84
Santa Isabel do Rio Negro,BR,75,67,84.07,2.13,-0.41,-65.02
Hua Hin,TH,0,83,69.8,4.72,12.57,99.96
Anadyr,RU,0,67,-23.37,4.47,64.73,177.51
Praia,BR,30,69,77.0,0.63,-20.25,-43.81
Sungairaya,ID,94,87,76.59,2.91,0.7,108.9
San Fernando,TT,20,83,76.5,3.36,10.28,-61.46
Ormara,PK,37,64,72.93,6.35,25.21,64.64
Haizhou,CN,100,94,44.1,10.45,34.58,119.13
Besuki,ID,95,78,82.18,10.74,-7.73,113.69
Leander,US,1,55,64.06,5.21,30.56,-97.84
Khorixas,NA,73,45,67.75,9.98,-20.37,14.96
Port Hedland,AU,75,49,89.6,11.41,-20.31,118.58
Soyo,AO,100,82,80.19,3.36,-6.13,12.37
Taoudenni,ML,43,17,53.37,7.2,22.68,-3.98
Arandis,NA,63,87,64.0,3.0,-22.42,14.98
North Auburn,US,90,87,49.51,11.41,47.34,-122.23
Vagur,FO,73,67,44.69,33.2,61.47,-6.81
Machico,PT,20,63,59.59,13.87,32.7,-16.77
Dodoma,TZ,40,82,66.87,1.81,-6.18,35.75
La Ronge,CA,75,70,-5.8,18.34,55.1,-105.3
Yaan,NG,5,24,78.08,5.23,7.38,8.57
Alyangula,AU,100,74,87.8,5.82,-13.85,136.42
Sabancuy,MX,19,78,68.9,2.84,18.97,-91.18
Mbigou,GA,83,98,69.06,3.94,-1.9,11.91
Uruzgan,AF,88,88,15.39,3.51,32.93,66.63
Gallup,US,1,40,38.35,6.93,35.53,-108.74
Isangel,VU,75,70,84.2,10.76,-19.55,169.27
Lamu,CN,0,82,13.5,4.14,35.77,102.37
Jackville,CI,2,83,75.2,2.24,5.21,-4.42
Margate,AU,75,68,67.06,12.75,-43.03,147.26
San Cristobal,HN,79,91,63.18,5.88,14.68,-86.92
Mokrous,RU,100,98,31.5,6.71,51.24,47.51
Ketchikan,US,40,86,31.59,6.93,55.34,-131.65
Teno,CL,0,36,75.2,6.93,-34.87,-71.16
Semirom,IR,0,58,24.82,1.3,31.41,51.57
Santa Quiteria,ES,0,58,43.99,1.99,37.67,-1.69
Mundo Nuevo,CL,0,63,64.35,11.41,-32.72,-71.41
Dubbo,AU,100,48,86.0,12.75,-32.25,148.6
Jiazi,CN,75,100,68.0,4.47,19.61,110.49
Cayenne,GF,55,88,75.2,3.36,4.94,-52.33
Kysyl-Syr,RU,100,96,12.43,3.53,63.9,122.77
Salinopolis,BR,100,78,82.26,14.18,-0.61,-47.36
Sagay,PH,39,79,80.44,12.62,10.9,123.42
Moindou,NC,75,52,87.8,11.41,-21.69,165.68
Kamina,CD,100,98,64.67,4.16,-8.74,25.0
Bicazu Ardelean,RO,0,98,16.56,2.66,46.85,25.93
Puerto Berrio,CO,11,85,75.06,2.39,6.49,-74.4
Storsteinnes,NO,100,93,36.34,25.28,69.24,19.23
Goderich,CA,40,53,33.12,1.01,43.74,-81.71
Namatanai,PG,86,71,85.5,6.15,-3.66,152.44
Jizan,SA,40,69,77.0,9.28,16.89,42.56
Druten,NL,75,93,41.74,10.29,51.89,5.6
Srednekolymsk,RU,20,99,-20.7,3.31,67.46,153.71
Saint-Louis,SN,81,29,66.2,6.93,16.03,-16.5
Shelburne,CA,75,63,28.85,4.7,44.08,-80.2
San Juan,AR,0,17,82.04,10.56,-31.54,-68.53
Isetskoye,RU,87,94,11.86,4.74,56.49,65.32
Guaruja,BR,15,57,77.65,9.17,-23.99,-46.26
Los Llanos de Aridane,ES,90,72,62.6,17.22,28.66,-17.92
Dehloran,IR,0,53,52.38,2.84,32.69,47.27
Flin Flon,CA,90,71,3.2,18.34,54.77,-101.88
Bay City,US,1,64,34.27,8.05,43.59,-83.89
Marawi,PH,99,82,78.01,7.0,8.0,124.29
Thunder Bay,CA,5,85,16.18,2.24,48.41,-89.26
Kajaani,FI,75,94,33.8,11.41,64.22,27.73
Saint George,GR,20,51,34.65,9.17,39.45,22.34
Tiarei,PF,75,66,89.6,10.29,-17.53,-149.33
Koster,ZA,96,71,67.42,16.58,-25.86,26.9
Hinton,CA,33,89,13.21,5.19,53.4,-117.57
Tikapur,NP,99,75,53.01,2.15,28.53,81.12
Ambon,FR,90,100,51.04,4.7,47.55,-2.56
Qarqin,AF,0,46,37.72,6.2,37.41,66.03
Buala,SB,63,75,84.49,10.92,-8.15,159.59
Ribas do Rio Pardo,BR,70,87,75.04,4.68,-20.45,-53.76
Chernyshevskiy,RU,100,92,15.21,9.91,63.01,112.47
Caravelas,BR,100,89,74.64,7.58,-17.73,-39.27
Warkworth,NZ,100,52,66.88,23.04,-36.4,174.66
Bagotville,AU,40,65,85.03,10.29,-28.98,153.42
Sorland,NO,100,84,44.49,30.51,67.67,12.69
Aberdeen,US,90,100,50.95,20.8,46.98,-123.82
Balgazyn,RU,26,89,-8.61,0.65,51.0,95.2
Mitu,IR,0,84,19.09,2.89,36.2,46.09
Inhambane,MZ,29,77,79.43,12.15,-23.87,35.38
Mansoa,GW,58,59,66.2,2.24,12.07,-15.32
